"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"GRN",0,1.24414893103204,0.594,0.142,0,"3","GRN",0.452
"S100A10",0,1.22025891504547,0.831,0.575,0,"3","S100A10",0.256
"HLA-DRB51",0,1.2198015766512,0.726,0.278,0,"3","HLA-DRB5",0.448
"CD86",0,1.21554246771467,0.474,0.025,0,"3","CD86",0.449
"CEBPB",0,1.21485013157613,0.574,0.147,0,"3","CEBPB",0.427
"GLUL",0,1.20608049451581,0.609,0.1,0,"3","GLUL",0.509
"SPI1",0,1.19434862397893,0.498,0.038,0,"3","SPI1",0.46
"KYNU",0,1.18362861961396,0.506,0.031,0,"3","KYNU",0.475
"SDC2",0,1.17233065687804,0.384,0.016,0,"3","SDC2",0.368
"CPVL",0,1.16643692411866,0.373,0.006,0,"3","CPVL",0.367
"LGALS3",0,1.15965088179877,0.699,0.275,0,"3","LGALS3",0.424
"CLEC4E",0,1.15711726289149,0.343,0.002,0,"3","CLEC4E",0.341
"MS4A7",0,1.1563125430215,0.371,0.008,0,"3","MS4A7",0.363
"HLA-DRB11",0,1.15311248189943,0.892,0.476,0,"3","HLA-DRB1",0.416
"SERPINB1",0,1.1364968961782,0.611,0.196,0,"3","SERPINB1",0.415
"IFI30",0,1.12822477039577,0.462,0.034,0,"3","IFI30",0.428
"C5AR1",0,1.11487965494066,0.384,0.003,0,"3","C5AR1",0.381
"CAPG",0,1.11293640784502,0.597,0.17,0,"3","CAPG",0.427
"FCN1",0,1.11168893627258,0.276,0.001,0,"3","FCN1",0.275
"THBS1",0,1.10880421586925,0.283,0.029,0,"3","THBS1",0.254
"LGMN",0,1.09808932270201,0.425,0.103,0,"3","LGMN",0.322
"S100A12",0,1.09655372404632,0.288,0.001,0,"3","S100A12",0.287
"FCGRT",0,1.09159706911375,0.511,0.123,0,"3","FCGRT",0.388
"AQP9",0,1.08097633650472,0.337,0.002,0,"3","AQP9",0.335
"HMOX1",0,1.07178896990987,0.263,0.017,0,"3","HMOX1",0.246
"OLR1",0,1.05377454840279,0.281,0.002,0,"3","OLR1",0.279
"CLEC7A",0,1.04335135827388,0.411,0.011,0,"3","CLEC7A",0.4
"MARCKS",0,1.03823567416036,0.447,0.083,0,"3","MARCKS",0.364
"RNF130",0,1.03467604459888,0.444,0.045,0,"3","RNF130",0.399
"ATP6V1F",0,1.01225341765082,0.719,0.339,0,"3","ATP6V1F",0.38
"BASP1",0,1.01199475295349,0.448,0.075,0,"3","BASP1",0.373
"ATOX1",0,1.01044444941171,0.527,0.168,0,"3","ATOX1",0.359
"GK",0,1.00846564496262,0.442,0.044,0,"3","GK",0.398
"PLEK",0,1.00554369267028,0.385,0.026,0,"3","PLEK",0.359
"ANXA2",0,0.988325093687352,0.788,0.397,0,"3","ANXA2",0.391
"CTSH",0,0.983830523324224,0.571,0.172,0,"3","CTSH",0.399
"AP2S1",0,0.980309717482322,0.598,0.203,0,"3","AP2S1",0.395
"TMSB10",0,0.978344164833536,0.992,0.959,0,"3","TMSB10",0.033
"MMP19",0,0.976374673345018,0.319,0.006,0,"3","MMP19",0.313
"LGALS2",0,0.973642023517219,0.258,0.011,0,"3","LGALS2",0.247
"RAB31",0,0.950152650780304,0.428,0.028,0,"3","RAB31",0.4
"CREG1",0,0.937423883215425,0.369,0.064,0,"3","CREG1",0.305
"TMEM176B",0,0.936376936790741,0.276,0.041,0,"3","TMEM176B",0.235
