"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CKS2",3.34857925698644e-18,0.515194380862425,0.392,0.173,6.62415948617058e-14,"2","CKS2",0.219
"DNAJB1",1.50001472489494e-17,0.688222295836429,0.375,0.171,2.96732912878717e-13,"2","DNAJB1",0.204
"IFI6",2.23847710909245e-17,0.78013275897951,0.598,0.377,4.42815541720668e-13,"2","IFI6",0.221
"ATF3",6.96292387607128e-17,0.700788305851412,0.385,0.179,1.37740560116442e-12,"2","ATF3",0.206
"GADD45B",2.2589180042606e-16,0.605607574079802,0.595,0.37,4.46859159602833e-12,"2","GADD45B",0.225
"ZNF331",6.58588541988466e-16,0.518931330071562,0.299,0.12,1.30281985376158e-11,"2","ZNF331",0.179
"VMO1",9.45645596463636e-16,0.862642278917617,0.378,0.178,1.87067611892437e-11,"2","VMO1",0.2
"LY6E",9.45913536949597e-15,0.509552286227611,0.509,0.292,1.87120615879369e-10,"2","LY6E",0.217
"HSPA1A",1.25056613035934e-14,0.75889413862506,0.392,0.196,2.47386991907685e-10,"2","HSPA1A",0.196
"IER2",1.5041276881336e-14,0.578779598732127,0.426,0.227,2.97546539266589e-10,"2","IER2",0.199
"NR4A1",3.12383283919191e-13,0.608209083958497,0.323,0.162,6.17956612248944e-09,"2","NR4A1",0.161
"FOS",7.10624181799825e-12,0.990631074388666,0.729,0.554,1.40575675643641e-07,"2","FOS",0.175
"NFKBIZ",7.55943159329168e-12,0.508450088475301,0.405,0.24,1.49540675778496e-07,"2","NFKBIZ",0.165
"RGS2",2.92389091746152e-09,0.550487545919699,0.57,0.413,5.78404101292238e-05,"2","RGS2",0.157
"INHBA",7.18922901029384e-123,1.7008649448863,0.73,0.134,1.42217328281633e-118,"3","INHBA",0.596
"FTH1",6.60222401091307e-109,0.949309748486298,1,0.993,1.30605195383882e-104,"3","FTH1",0.00700000000000001
"CSTB",1.83941881615194e-86,1.44675540653226,0.958,0.7,3.63873830211177e-82,"3","CSTB",0.258
"SOD2",3.58000714224864e-86,1.11172931304884,0.996,0.78,7.08197012879627e-82,"3","SOD2",0.216
